offensiveAbilityId,birthId,roleId,playerOrganizationId,goals,shotsTotal,shotsOnTarget,pensMade
120,174,2,913,0,7,3,0
121,140,4,341,1,6,1,0
122,29,4,6,0,2,0,0
123,473,10,216,3,38,13,0
124,448,60,147,1,12,3,0
125,365,2,723,0,5,0,0
126,354,15,841,1,7,2,0
127,114,44,31,0,11,3,0
128,282,39,830,1,7,2,0
129,587,17,764,8,40,15,0
130,391,10,657,18,78,34,2
131,470,16,620,0,9,1,0
132,335,8,56,3,25,8,0
133,439,11,755,0,0,0,0
134,605,3,568,0,9,0,0
135,348,10,466,2,5,2,0
136,388,22,682,0,14,3,0
137,308,93,289,0,2,0,0
138,197,34,143,2,34,4,0
139,189,11,468,1,1,1,0
140,194,19,98,0,9,1,0
141,604,10,822,5,57,18,0
142,61,35,210,0,11,3,0
143,231,20,226,0,5,3,0
144,308,53,587,3,46,20,0
145,442,10,397,21,72,33,2
146,547,55,114,6,61,27,0
147,125,4,884,2,11,4,0
148,179,3,807,0,0,0,0
149,359,10,9,6,50,22,0
150,98,33,330,17,84,38,6
151,590,55,443,18,76,36,0
152,428,33,741,12,58,25,1
153,12,3,879,0,10,1,0
154,326,6,467,1,7,1,0
155,593,10,421,16,78,42,1
156,575,112,559,0,13,3,0
157,440,32,446,0,12,5,0
158,612,14,535,3,9,4,0
159,488,10,827,6,55,24,0
160,123,35,683,2,28,5,0
161,578,26,739,0,0,0,0
162,625,35,188,0,1,0,0
163,132,35,966,0,6,1,0
164,341,3,825,6,23,8,5
165,528,77,959,1,30,8,0
166,432,32,449,0,8,3,0
167,529,6,961,1,6,1,0
168,236,7,580,0,0,0,0
169,38,32,385,0,15,4,0
170,84,21,931,7,25,6,7
171,304,35,402,1,2,1,0
172,446,83,753,4,23,9,0
173,194,3,745,1,24,5,0
174,227,23,271,0,10,2,0
175,582,30,527,0,23,5,0
176,445,77,274,0,7,1,0
177,676,11,980,1,4,3,0
178,422,11,71,0,3,2,0
179,24,46,733,5,49,16,1
180,420,6,820,1,2,1,0
181,654,80,520,4,20,8,0
182,181,4,298,2,18,9,0
183,152,16,204,2,34,13,0
184,449,3,110,1,9,3,1
185,409,10,60,0,2,0,0
186,487,47,48,0,23,5,0
187,200,34,556,1,21,6,0
188,102,6,483,0,24,6,0
189,594,10,826,3,20,8,1
190,19,19,445,1,2,1,0
191,560,70,789,0,13,3,0
192,532,109,782,4,29,9,0
193,347,53,716,2,21,9,0
194,489,84,769,1,4,1,0
194,489,84,261,0,4,2,0
195,72,6,575,1,11,2,0
196,509,84,833,0,10,0,0
197,327,6,893,1,4,2,0
198,509,34,706,0,10,4,0
199,273,13,85,1,11,4,0
200,358,3,398,1,4,1,0
201,336,55,77,5,37,14,0
202,637,7,375,0,0,0,0
203,643,6,815,3,34,8,0
204,439,59,798,0,6,2,0
205,466,32,496,1,5,3,0
206,436,6,233,3,23,8,0
207,41,33,876,4,49,17,0
208,56,33,305,1,5,2,0
209,347,35,784,2,20,4,0
210,28,96,622,0,10,0,0
211,388,11,625,0,3,0,0
212,92,6,479,0,1,0,0
213,106,59,69,0,0,0,0
213,106,59,420,0,6,1,0
214,383,3,292,2,10,4,0
215,403,16,641,8,52,19,1
216,113,73,545,1,19,3,0
217,478,6,470,4,18,9,0
218,484,19,480,0,4,0,0
219,387,85,166,4,20,5,0
220,309,94,579,4,43,12,0
221,649,32,464,0,3,0,0
222,371,14,707,4,54,25,0
223,148,3,417,4,28,7,0
224,234,84,307,2,17,5,0
225,533,6,688,2,5,2,0
226,282,10,801,0,0,0,0
227,593,10,421,16,78,42,1
228,509,15,849,1,8,2,0
229,275,38,638,6,74,18,0
230,369,124,584,4,63,19,0
231,545,5,253,1,17,5,0
232,446,2,415,2,17,7,1
233,30,11,297,1,22,2,0
234,460,32,228,4,7,4,0
235,295,32,329,1,20,9,0
236,669,10,855,16,82,35,4
237,495,94,51,4,42,15,0
238,487,26,140,0,0,0,0
239,609,24,331,1,11,6,0
240,643,10,499,14,122,42,2
241,523,3,103,2,14,6,0
242,655,16,257,14,81,31,5
243,665,11,112,0,0,0,0
244,502,8,634,1,4,1,0
245,403,34,736,2,14,5,0
246,214,53,668,9,75,24,0
247,535,16,917,1,5,1,0
248,517,10,919,16,95,33,7
249,518,77,639,0,17,2,0
250,251,34,66,1,27,7,0
251,177,6,414,0,6,2,0
252,392,46,178,1,24,7,0
253,68,25,46,0,9,2,0
254,439,6,407,1,2,1,0
255,622,19,21,1,16,3,0
256,449,31,144,2,12,7,0
257,490,32,955,0,14,1,0
258,664,30,957,1,10,5,0
259,20,52,264,0,14,4,0
260,132,32,198,0,1,0,0
261,601,3,773,0,10,3,0
262,64,10,361,0,4,2,0
262,64,10,636,0,7,4,0
263,469,11,428,0,1,0,0
264,550,44,550,6,61,21,0
265,73,26,586,0,0,0,0
266,243,4,558,1,2,1,0
267,0,32,498,1,14,5,0
268,59,14,453,8,50,22,0
269,510,5,107,1,11,4,0
270,660,4,245,0,3,0,0
271,318,32,322,2,13,7,0
272,324,11,457,0,2,0,0
273,139,33,726,1,14,4,0
274,375,6,781,2,20,2,0
275,307,10,898,1,24,5,1
276,339,6,197,1,24,10,0
277,576,10,170,3,18,7,1
278,494,36,679,8,56,26,1
279,83,77,24,2,44,8,0
280,64,46,547,8,90,25,0
281,198,6,915,1,14,2,0
282,283,10,564,6,39,11,1
283,541,6,973,3,30,10,0
284,116,16,744,1,9,4,0
285,216,7,182,0,1,0,0
286,607,24,447,1,14,3,0
287,67,3,487,2,9,4,0
288,51,38,62,0,16,3,0
289,543,6,629,0,6,0,0
290,139,32,912,1,20,5,0
291,611,5,422,0,9,3,0
292,191,55,15,2,27,9,0
293,213,3,874,4,44,12,0
294,457,32,557,0,4,0,0
295,201,33,42,2,23,9,0
296,272,32,554,0,4,1,0
297,91,46,823,1,9,2,0
298,282,6,870,0,2,1,0
299,574,11,474,1,37,14,0
300,101,14,635,8,70,26,2
301,1,6,507,3,15,6,0
302,164,11,237,0,6,3,0
302,412,10,133,1,22,7,0
303,631,14,96,5,20,10,0
304,461,65,156,9,52,20,0
305,337,7,894,0,0,0,0
306,57,8,721,1,12,5,0
307,67,19,183,0,10,1,0
308,179,5,832,0,5,2,0
309,271,32,304,0,1,1,0
310,577,11,20,1,6,2,0
311,664,7,440,0,1,0,0
312,666,88,742,2,12,4,0
313,338,35,774,0,0,0,0
314,199,11,399,0,0,0,0
315,257,5,68,2,7,3,0
316,140,8,866,4,55,25,0
317,333,14,591,2,52,15,0
318,662,3,817,1,17,4,0
319,411,16,628,3,17,11,0
320,441,16,339,6,29,10,0
321,419,35,540,0,6,1,0
322,520,10,719,34,134,59,5
323,44,11,224,0,18,6,0
324,414,33,357,1,51,9,0
325,202,14,49,0,9,2,0
326,15,24,500,11,35,11,6
327,498,33,933,3,42,19,0
328,118,3,672,1,18,7,0
329,668,19,16,0,11,1,0
330,576,8,252,1,11,2,0
331,88,16,95,4,37,15,0
332,593,3,749,1,46,7,0
333,247,26,349,0,4,2,0
334,613,16,856,11,100,35,1
335,486,23,560,1,32,9,0
336,207,45,120,2,16,4,0
337,538,6,109,1,20,5,0
338,494,3,786,3,39,12,0
339,298,2,967,1,26,6,0
340,314,14,175,2,54,14,0
341,508,38,290,0,23,7,0
342,62,25,248,0,4,0,0
343,578,33,737,8,46,20,1
344,254,77,338,2,6,3,0
345,294,63,185,2,24,7,0
346,323,36,283,4,21,11,1
347,277,19,662,1,24,7,0
348,331,16,286,1,10,4,0
349,122,32,123,1,13,3,0
350,81,36,728,5,24,8,2
351,225,6,632,0,15,5,0
352,522,3,495,0,10,3,0
353,325,10,50,12,54,22,1
353,325,10,137,0,2,0,0
354,122,30,377,1,32,8,0
355,503,100,301,1,9,2,0
356,159,43,845,0,14,1,0
357,160,73,711,0,5,1,0
358,301,6,918,0,1,1,0
359,52,26,859,0,1,0,0
359,52,26,910,0,4,1,0
360,11,11,412,1,3,1,0
361,75,29,340,2,23,9,0
362,419,11,299,0,0,0,0
363,427,51,320,0,9,2,0
364,611,6,38,1,23,4,0
365,487,14,577,2,15,6,1
365,487,14,448,3,24,8,0
366,330,3,116,0,1,0,0
367,482,4,970,0,1,0,0
368,300,14,181,5,34,18,0
369,248,63,232,2,6,4,0
370,122,14,680,13,83,37,0
371,468,33,190,5,40,15,1
372,419,25,89,5,19,8,0
373,121,84,911,1,3,2,0
374,256,31,714,3,19,7,0
375,185,55,269,1,7,1,0
376,22,10,945,3,34,11,1
377,368,10,148,12,61,35,1
378,554,3,637,0,13,4,0
379,569,4,814,0,3,2,0
380,128,80,278,2,13,3,0
381,412,53,615,11,109,40,1
382,45,79,521,15,75,27,7
383,238,10,333,6,48,14,0
384,578,3,321,0,10,2,0
385,21,10,785,16,73,25,2
386,615,31,343,1,43,18,0
387,675,34,365,3,36,7,0
388,150,26,489,0,0,0,0
389,346,10,436,0,1,0,0
389,111,33,97,18,82,32,4
390,646,32,153,3,23,4,0
391,287,20,610,2,20,5,0
392,217,29,65,1,21,7,0
393,94,37,413,0,17,2,0
394,293,11,240,0,0,0,0
395,83,32,538,1,16,1,0
396,168,7,908,0,0,0,0
397,584,3,64,1,22,6,0
398,581,89,735,4,57,18,0
399,383,36,450,2,19,6,0
400,373,62,549,1,42,11,0
401,465,119,508,0,12,4,0
402,23,3,99,0,7,1,0
403,34,84,923,2,7,2,0
403,34,84,52,0,6,0,0
404,628,35,354,1,20,5,0
405,509,16,793,12,96,40,0
406,379,5,932,0,0,0,0
406,379,5,235,0,2,0,0
407,438,10,571,13,54,20,2
408,291,32,360,0,9,1,0
409,641,16,920,9,55,23,0
410,273,42,971,1,30,9,0
411,447,51,342,2,41,9,0
412,573,10,505,8,66,26,1
413,583,30,800,1,18,5,0
414,262,11,664,0,8,2,0
414,262,11,572,0,0,0,0
415,397,79,250,0,40,10,0
416,153,33,665,8,39,18,1
417,639,62,565,5,54,23,1
418,439,10,518,0,2,1,0
419,7,35,451,2,13,2,0
420,276,30,592,0,15,4,0
421,582,14,835,0,10,4,0
421,582,14,605,9,66,21,1
422,18,120,869,1,23,8,0
422,18,120,263,0,0,0,0
423,310,34,246,0,14,2,0
424,632,33,608,9,100,37,0
425,577,32,670,4,44,13,0
426,273,118,154,0,4,1,0
427,221,19,791,0,20,8,0
428,246,15,652,2,29,6,0
429,658,35,788,0,5,1,0
430,379,6,150,0,12,5,0
431,657,53,905,31,196,67,12
432,646,8,803,4,56,13,0
433,415,6,658,0,0,0,0
434,396,10,276,5,30,7,2
435,140,4,689,1,22,5,0
436,16,39,265,2,13,5,0
437,640,39,364,2,22,7,1
438,568,14,746,3,50,11,0
439,458,86,834,4,31,9,0
440,93,3,215,3,12,6,0
441,610,33,2,4,63,18,0
442,328,15,118,3,21,6,0
443,459,10,928,11,58,19,0
444,139,59,424,1,12,3,0
445,402,10,863,13,35,20,0
446,156,10,378,0,14,3,0
447,110,91,192,2,25,6,0
448,283,24,287,2,9,4,0
449,547,14,418,4,37,9,0
450,624,24,353,0,0,0,0
451,505,43,430,0,2,0,0
452,559,14,281,2,16,8,0
453,463,104,81,0,10,2,0
454,619,26,275,0,1,0,0
455,226,3,359,1,25,9,0
456,365,33,461,1,22,6,0
457,5,14,288,1,7,3,0
458,597,11,194,1,14,4,0
459,361,100,700,1,4,1,0
460,229,21,36,1,17,3,0
461,258,10,868,1,13,3,0
462,272,0,836,1,21,4,0
463,565,23,106,8,45,17,0
464,404,10,208,5,51,16,1
465,284,7,944,0,0,0,0
466,307,10,541,6,41,20,0
467,465,6,7,1,12,3,0
468,88,7,102,0,0,0,0
469,509,53,325,28,117,59,3
470,494,111,603,2,12,7,0
471,210,7,176,0,0,0,0
472,577,31,486,1,40,12,0
473,139,19,674,0,6,1,0
474,88,3,978,3,18,6,0
475,105,110,162,0,24,8,0
476,89,59,124,4,20,6,0
477,267,63,968,0,2,1,0
478,567,24,405,8,13,2,7
479,80,10,225,5,15,7,0
479,80,10,618,4,25,8,0
480,613,5,902,1,8,6,0
481,230,14,207,0,10,2,0
482,433,57,485,0,3,1,0
483,546,25,943,3,17,7,0
484,513,47,247,1,16,4,0
485,104,30,623,1,24,4,0
486,477,59,794,3,21,5,0
487,526,19,356,0,1,0,0
488,671,10,332,6,57,23,2
489,460,4,481,0,3,1,0
489,460,4,295,0,0,0,0
490,487,24,799,0,8,0,0
491,211,3,33,1,15,2,0
492,282,10,242,1,5,2,0
493,403,19,460,0,2,1,0
494,147,11,804,0,2,2,0
495,530,3,310,0,2,0,0
496,380,4,205,0,0,0,0
497,551,38,853,0,14,3,0
498,439,26,891,0,0,0,0
499,630,14,280,0,10,1,0
500,290,6,731,1,12,2,0
501,162,73,382,3,27,9,0
502,626,61,186,0,6,0,0
503,621,61,164,0,2,1,0
504,85,67,345,0,1,0,0
505,175,33,132,7,46,18,0
506,26,25,201,4,34,15,0
507,176,53,84,1,27,12,0
508,468,9,284,9,71,24,0
509,372,5,323,2,20,6,0
510,646,14,293,14,102,43,0
511,663,51,779,2,48,14,0
512,157,6,17,0,5,0,0
513,222,39,696,0,5,2,0
514,409,6,309,0,4,0,0
515,479,30,604,5,30,14,0
516,353,14,650,5,43,13,1
517,265,61,609,0,7,1,0
518,46,3,729,1,25,5,0
519,196,82,327,13,96,27,2
520,36,10,747,3,24,6,0
521,82,10,358,22,90,35,1
522,620,19,722,0,3,0,0
523,294,30,296,1,4,2,0
524,372,3,595,3,55,19,0
525,439,10,180,0,0,0,0
526,603,10,810,4,22,12,0
526,603,10,427,2,11,3,0
527,480,52,308,3,8,5,0
528,95,53,58,9,30,14,0
529,26,31,372,2,22,6,0
530,499,10,18,2,17,6,0
531,212,6,956,1,8,1,0
532,273,26,563,0,0,0,0
533,439,26,649,0,0,0,0
534,462,43,45,0,0,0,0
535,88,63,127,2,4,3,0
536,135,6,840,1,10,3,0
537,546,35,566,0,8,3,0
538,562,10,780,4,39,18,0
538,562,10,100,4,21,8,0
539,486,6,631,1,7,3,0
540,370,47,819,0,19,3,0
541,612,94,909,0,7,4,0
542,273,75,75,1,13,4,0
543,139,2,862,2,23,11,0
544,96,16,709,7,50,21,0
545,580,3,392,6,45,10,2
546,525,6,675,0,0,0,0
547,362,6,300,0,2,1,0
547,362,6,528,1,2,2,0
548,464,6,829,0,10,2,0
549,171,30,117,1,4,3,0
550,350,14,940,2,34,12,0
551,182,10,903,0,5,2,0
552,245,41,67,7,86,30,0
553,446,6,379,1,7,3,0
554,220,72,809,2,23,8,0
555,492,3,647,4,34,17,0
556,382,2,404,0,18,3,0
557,96,36,105,1,19,14,0
558,355,6,626,0,4,3,0
559,86,16,492,20,96,36,0
560,572,5,531,1,19,4,0
561,332,7,974,0,1,0,0
562,79,39,544,1,12,4,0
563,140,5,47,0,15,3,0
564,226,105,926,2,43,11,1
565,410,3,350,1,15,1,0
566,653,14,268,6,45,15,0
567,570,35,837,0,1,0,0
568,408,33,223,2,37,12,0
569,452,4,57,1,13,4,0
570,205,2,627,3,29,10,0
571,223,33,403,3,42,15,0
572,224,19,285,0,5,1,0
573,97,33,727,17,79,38,0
574,631,33,536,0,2,0,0
574,631,33,598,9,43,16,0
575,527,10,473,36,127,56,14
576,579,82,705,6,99,27,1
577,242,14,720,6,47,22,0
578,618,12,872,0,16,9,0
579,342,59,189,4,18,4,0
580,77,3,434,0,6,3,0
581,273,33,805,17,52,28,0
582,492,10,851,0,1,0,0
583,480,53,824,3,9,5,0
584,648,30,699,0,11,2,0
585,88,30,875,0,0,0,0
586,394,94,754,1,27,8,0
587,446,30,732,0,3,2,0
588,158,3,211,8,25,14,0
589,403,10,442,7,33,13,1
590,487,3,795,1,9,1,0
591,636,39,537,5,38,20,0
592,60,10,887,0,0,0,0
593,384,6,593,1,6,1,0
594,80,10,465,11,53,20,4
595,273,39,101,0,18,3,0
596,446,59,802,1,6,1,0
597,402,66,551,2,10,1,2
598,423,77,953,2,62,10,0
599,544,86,906,0,3,0,0
600,155,24,187,3,31,8,0
601,474,31,880,8,40,14,4
602,79,14,548,4,76,19,3
603,144,101,756,0,1,0,0
604,644,90,249,1,17,6,0
605,672,5,394,0,32,10,0
606,600,10,873,9,39,19,0
607,173,10,761,23,95,41,6
608,225,10,570,21,118,54,5
609,188,30,336,2,8,4,0
610,190,14,646,1,14,6,0
610,190,14,596,1,21,8,0
611,37,16,881,4,50,19,1
612,446,59,802,1,6,1,0
613,572,39,892,1,5,2,0
613,572,39,644,0,0,0,0
614,482,3,624,0,33,6,0
615,537,19,927,6,49,17,0
616,297,97,193,1,19,6,0
617,50,19,231,0,20,8,0
618,485,2,831,1,15,5,0
618,485,2,857,1,15,3,0
619,596,88,380,1,16,3,0
620,31,10,184,0,16,5,0
621,647,16,172,11,45,22,1
622,270,36,429,4,48,17,1
622,270,36,29,0,0,0,0
623,9,6,871,1,3,1,0
624,447,10,121,10,49,18,0
625,424,33,900,0,7,5,0
625,424,33,40,0,10,3,0
626,179,100,390,3,10,3,0
627,524,11,513,0,7,4,0
628,88,39,921,1,13,4,0
629,530,26,846,0,0,0,0
630,499,6,924,1,9,6,0
630,499,6,214,0,2,0,0
631,47,15,316,0,3,0,0
632,4,30,319,0,3,0,0
633,31,36,243,4,59,21,0
634,645,30,328,1,2,1,0
635,446,10,758,11,51,20,3
636,633,10,630,1,7,2,0
637,208,33,61,9,62,25,0
638,172,32,899,0,0,0,0
638,172,32,374,0,2,0,0
639,279,10,202,9,44,22,0
640,345,3,163,0,7,2,0
640,345,3,770,0,2,0,0
641,172,61,685,0,8,1,0
642,407,33,491,2,14,4,0
643,434,6,922,2,14,4,0
644,674,10,26,2,15,5,0
645,112,33,653,6,35,16,0
646,561,35,752,4,17,8,0
647,147,49,914,7,40,15,0
648,288,10,858,3,35,12,0
649,215,53,273,22,90,40,2
650,329,3,861,0,6,0,0
651,487,69,935,5,43,14,0
652,154,40,844,1,19,9,0
653,634,43,806,0,0,0,0
653,634,43,972,0,1,0,0
654,198,31,409,2,29,9,0
655,578,26,739,0,0,0,0
656,419,10,234,0,1,0,0
657,225,33,939,7,101,40,1
658,228,4,530,0,1,0,0
659,142,19,482,0,0,0,0
660,158,43,326,0,5,1,0
661,552,10,724,8,45,18,0
662,599,87,12,4,15,9,0
662,599,87,469,0,3,0,0
663,162,73,382,3,27,9,0
664,651,6,655,0,7,2,0
665,264,34,916,0,4,0,0
665,577,58,666,0,0,0,0
666,507,10,574,0,1,0,0
667,321,67,886,3,12,5,0
668,65,47,766,1,17,4,0
669,240,14,852,7,56,23,0
670,10,3,282,0,14,1,0
671,585,35,129,0,43,12,0
672,571,4,4,0,0,0,0
673,446,32,725,1,8,2,0
674,143,4,161,0,21,5,0
675,534,6,578,1,7,3,0
676,142,11,370,0,0,0,0
677,382,17,767,4,28,8,0
678,595,6,796,2,13,4,0
679,145,6,693,0,8,3,0
680,472,35,171,0,1,0,0
681,186,3,792,6,45,14,0
682,639,70,136,4,40,10,0
683,553,3,533,0,17,7,0
684,246,11,11,1,14,3,0
685,536,7,842,0,0,0,0
686,14,6,690,3,19,5,0
687,504,2,951,3,32,7,0
688,232,6,748,4,17,7,0
689,43,10,28,8,39,19,0
690,178,35,854,0,7,2,0
691,246,72,600,0,19,5,0
692,515,46,386,14,115,44,2
693,400,14,363,5,52,23,0
694,563,39,158,2,14,4,0
695,500,26,134,0,3,1,0
696,556,124,713,2,10,3,0
697,53,10,388,10,83,34,0
698,40,87,441,1,15,7,0
699,68,6,619,0,1,0,0
699,68,6,142,0,0,0,0
700,514,6,850,0,5,1,0
700,514,6,272,0,4,3,0
701,521,48,13,0,5,1,0
702,667,40,808,5,46,19,0
703,88,33,590,5,41,23,0
704,389,6,230,0,11,2,0
705,446,34,583,1,14,4,0
706,313,5,54,1,6,2,0
707,243,21,352,4,37,11,2
708,542,29,708,0,3,0,0
709,311,58,426,0,0,0,0
710,454,32,83,0,6,3,0
711,58,19,659,0,4,2,0
712,203,53,177,4,63,22,1
713,386,46,883,1,31,12,0
713,386,46,73,1,14,7,0
714,487,33,44,0,16,4,0
714,487,33,78,2,19,8,0
715,589,26,167,0,0,0,0
716,608,55,34,6,60,26,0
717,138,39,244,0,5,1,0
718,206,10,621,18,87,35,1
719,246,53,567,6,40,13,0
720,140,30,979,0,12,4,0
721,446,11,128,3,14,5,0
722,252,25,160,1,7,1,0
723,266,19,335,1,7,2,0
724,109,30,889,0,4,2,0
725,79,32,738,0,2,0,0
726,3,25,776,2,6,3,0
727,269,5,504,0,7,1,0
728,286,33,27,3,21,6,0
729,418,33,241,9,76,37,0
730,393,47,937,0,5,1,0
731,66,39,777,0,2,0,0
732,32,86,23,1,26,3,0
733,361,77,684,6,39,15,0
734,431,32,221,3,9,3,0
735,76,56,865,0,3,0,0
736,616,92,1,0,0,0,0
737,181,14,191,5,41,15,1
737,181,14,213,0,8,3,0
738,630,14,611,1,22,4,0
739,487,31,396,1,58,10,0
740,76,33,710,6,45,21,1
741,630,53,337,10,67,30,1
742,467,4,790,0,5,0,0
743,382,8,599,5,44,17,0
744,382,53,423,25,154,63,5
745,233,35,227,0,0,0,0
746,13,2,612,1,18,6,0
747,166,11,72,0,4,0,0
747,166,11,104,1,10,2,0
748,136,8,126,8,32,11,2
749,460,3,877,0,55,7,0
750,617,10,539,1,1,1,0
751,390,11,698,0,1,0,0
752,566,7,490,0,0,0,0
753,278,5,389,1,5,2,0
754,142,35,532,1,6,4,0
755,446,3,969,3,24,9,0
756,397,24,419,0,0,0,0
757,299,36,510,2,6,4,1
757,299,36,347,3,28,12,0
758,124,7,511,0,0,0,0
759,141,35,613,3,12,7,0
760,661,7,687,0,0,0,0
761,136,19,895,0,7,4,0
762,2,34,111,0,27,11,0
763,381,56,523,0,12,2,0
764,475,7,718,0,0,0,0
765,246,36,676,5,28,13,0
766,357,3,494,0,6,2,0
767,636,10,113,1,6,3,0
768,586,33,41,1,23,13,0
769,63,10,497,17,114,39,4
770,303,10,642,9,37,22,0
771,446,121,267,4,30,8,0
772,435,10,941,0,8,2,0
773,55,3,149,0,7,0,0
774,131,7,125,0,1,1,0
775,268,3,569,0,16,3,0
776,417,6,643,1,9,2,0
777,273,32,848,0,2,0,0
777,273,32,669,0,1,0,0
778,592,10,368,18,72,34,6
779,134,42,165,0,7,1,0
780,320,11,74,0,7,1,0
781,476,11,195,0,6,3,0
782,491,33,771,2,48,19,0
783,184,42,437,1,29,9,0
784,302,46,765,3,26,9,0
785,147,10,217,0,0,0,0
786,588,26,376,0,0,0,0
787,285,35,39,3,10,4,0
788,153,5,934,3,15,6,0
789,237,14,929,10,59,24,1
790,132,10,818,8,30,14,1
791,199,11,399,0,0,0,0
792,0,34,734,1,16,6,0
793,318,3,885,1,32,8,0
794,48,6,828,3,16,7,0
795,537,14,387,9,56,24,0
796,537,55,22,11,57,20,0
797,135,24,524,0,0,0,0
798,349,3,589,0,9,0,0
799,137,7,432,0,0,0,0
800,446,6,260,1,10,4,0
801,522,35,146,1,8,2,0
802,193,9,270,6,49,15,0
803,51,6,907,1,14,3,1
804,183,6,561,0,6,1,0
805,192,11,400,0,14,1,0
806,86,33,772,5,31,11,0
807,115,3,839,1,17,6,1
808,492,35,960,0,6,2,0
809,443,84,616,2,27,2,0
810,214,77,346,1,16,3,0
811,68,35,573,1,8,1,0
812,376,82,762,6,46,17,0
813,426,34,757,0,22,6,0
814,127,123,302,1,14,2,0
815,322,25,942,5,43,16,0
816,517,10,477,11,87,35,1
817,670,33,512,6,27,11,1
818,460,55,673,8,116,38,5
819,673,6,371,0,1,1,0
819,673,6,743,0,6,1,0
820,108,36,351,3,25,13,0
821,623,6,515,0,3,0,0
822,512,14,594,8,54,19,0
