Name,Position,Club,Division,Nation,Height,Weight,Age,Preferred_Foot,Best_Pos,Best_Role,Value,Wage,CA,PA,Wor,Vis,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pen,Pas,Pac,v1,OtB,Mar,L_Th,Lon,Ldr,Jum,Hea,Han,Fla,Fir,Fin,Dri,Cro,Cor,Cnt,Cmd,Agi,Agg,Aer,Acc
Dejan Kulusevski,"M (RC), AM (RLC)",Parma,Italian Serie A,SWE,186,75,19,Left,M (R),IW,23500000,7750,152,183,14,17,16,14,8,14,16,3,3,11,15,14,1,14,6,5,12,9,12,8,2,15,16,13,16,14,10,13,3,14,11,1,14
Frenkie de Jong,"D (C), DM, M (C)",Barcelona,Spanish First Division,NED,181,69,22,Right,M (C),AP,52000000,165000,164,183,15,18,16,17,12,10,13,3,1,11,16,13,1,15,10,6,8,12,10,10,3,15,17,10,16,11,9,15,3,16,7,3,14
Marc-André ter Stegen,GK,Barcelona,Spanish First Division,GER,187,85,27,Either,GK,SK,49000000,140000,170,183,10,9,14,14,1,15,13,18,18,5,17,11,1,3,3,1,2,14,16,7,14,5,13,1,3,3,7,12,15,14,11,13,14
Sergio Agüero,"AM (C), ST (C)",Man City,English Premier Division,ARG,172,74,31,Either,ST (C),AF,78000000,230000,178,183,13,14,18,12,5,13,16,3,2,16,15,15,1,18,4,3,15,12,8,12,2,15,17,17,18,10,6,15,1,18,14,3,17
Thibaut Courtois,GK,R. Madrid,Spanish First Division,BEL,199,96,27,Left,GK,SK,49000000,215000,162,183,10,10,13,14,2,13,9,10,17,2,13,10,1,2,1,3,2,11,19,10,16,14,10,2,10,1,7,14,16,12,8,18,11
Youssoufa Moukoko,ST (C),Borussia Dortmund,Bundesliga,GER,179,72,14,Left,ST (C),AF,1600000,55,115,183,12,9,13,8,5,12,11,2,3,11,12,14,1,12,6,11,12,5,7,6,1,14,15,15,16,10,11,11,1,15,7,2,13
Alexis Sánchez,"AM (RLC), ST (C)",Inter,Italian Serie A,CHI,169,70,30,Right,AM (L),IW,25000000,200000,151,182,15,14,17,12,6,9,11,1,3,12,14,15,1,16,5,4,14,11,7,13,2,16,15,14,16,14,12,13,4,15,14,4,16
Gianluigi Donnarumma,GK,Milan,Italian Serie A,ITA,196,90,20,Right Only,GK,SK,29000000,185000,160,182,13,8,6,16,7,16,15,13,18,6,7,12,1,2,1,8,1,13,18,7,15,6,7,1,4,1,1,14,15,16,8,16,9
Paulo Dybala,"AM (RC), ST (C)",Juventus,Italian Serie A,ARG,176,75,25,Left,ST (C),AF,62000000,225000,168,182,15,17,19,15,3,12,13,2,3,16,16,14,1,15,3,3,16,11,7,13,1,17,17,15,17,15,16,9,1,17,9,4,16
Rodrygo,"AM (L), ST (C)",R. Madrid,Spanish First Division,BRA,171,62,18,Right,AM (L),IW,6000000,71000,130,182,9,10,15,9,6,12,12,2,3,12,14,14,1,14,5,8,9,10,11,10,1,15,15,14,15,10,7,14,1,16,7,4,15
Ansu Fati,"AM (RL), ST (C)",Barcelona,Spanish First Division,ESP,178,55,16,Right,AM (L),IW,55000000,10000,148,181,10,14,16,10,5,9,11,2,3,12,12,15,1,16,4,6,14,9,8,9,2,19,14,14,16,13,7,13,2,17,8,1,16
Franck Ribéry,"AM (LC), ST (C)",Fiorentina,Italian Serie A,FRA,170,62,36,Right,AM (L),IW,2500000,100000,150,181,12,16,18,14,5,8,10,3,2,13,15,14,1,16,5,3,14,16,6,4,1,19,18,14,19,13,13,13,3,14,12,2,13
Hakan Çalhanoglu,"M (LC), AM (RLC)",Milan,Italian Serie A,TUR,178,69,25,Right,AM (L),IW,38500000,77000,155,181,12,18,16,15,11,9,13,2,2,15,16,12,1,14,8,7,16,11,9,8,1,14,17,12,13,17,17,12,3,15,11,3,13
Ousmane Dembélé,M/AM (RL),Barcelona,Spanish First Division,FRA,178,67,22,Either,AM (R),W,58000000,200000,159,181,12,13,17,8,5,10,11,2,3,11,12,17,1,14,4,6,13,5,9,7,1,18,14,12,18,15,13,9,4,17,9,1,18
Alisson,GK,Liverpool,English Premier Division,BRA,191,91,26,Right,GK,SK,55000000,120000,174,180,11,13,13,11,2,14,12,16,18,5,16,13,1,12,1,1,1,9,14,4,16,13,15,1,11,3,3,15,13,15,12,14,15
Bernardo Silva,M/AM (RC),Man City,English Premier Division,POR,173,65,24,Left,AM (R),IW,73000000,150000,173,180,20,17,18,16,7,7,16,1,4,14,16,14,1,17,8,2,13,12,7,9,2,17,17,16,18,16,14,14,4,19,12,1,15
Declan Rice,"D (C), DM, M (C)",West Ham,English Premier Division,ENG,185,80,20,Right,DM,DLP,22000000,30000,138,180,15,12,12,14,16,13,15,3,1,5,13,13,1,10,14,10,7,13,12,12,3,10,12,9,12,9,7,13,1,13,12,3,12
Ederson,GK,Man City,English Premier Division,BRA,188,86,25,Left Only,GK,SK,52000000,100000,169,180,13,17,15,13,1,13,13,17,16,12,17,13,1,15,3,2,12,7,13,9,15,2,14,2,11,9,4,16,15,13,11,13,14
Giovanni Reyna,M/AM (LC),Borussia Dortmund,Bundesliga,USA,183,76,16,Right,AM (C),AP,4900000,55,132,180,15,14,14,13,7,10,13,2,1,10,13,13,1,15,6,4,13,8,10,7,3,13,15,12,15,12,14,11,1,15,14,2,14
Gonzalo Higuaín,ST (C),Juventus,Italian Serie A,ARG,184,89,31,Right,ST (C),DLF,55000000,230000,166,180,16,14,16,18,8,16,14,2,2,14,15,14,1,17,8,9,16,12,12,15,1,13,14,18,14,12,8,11,3,11,17,3,12
Isco,M/AM (RLC),R. Madrid,Spanish First Division,ESP,176,79,27,Right,AM (C),AM,55000000,210000,160,180,10,19,19,12,8,12,11,3,2,15,17,12,1,14,5,8,15,13,8,9,1,18,18,13,17,15,15,14,1,12,10,3,11
Luka Modric,M/AM (C),R. Madrid,Spanish First Division,CRO,172,67,33,Right,M (C),DLP,17750000,400000,173,180,16,18,18,16,11,8,14,2,3,14,19,13,1,12,8,7,12,13,7,8,2,13,19,9,17,16,16,16,1,15,12,2,13
Raheem Sterling,M/AM (RL),Man City,English Premier Division,ENG,170,70,24,Right,AM (R),W,74000000,200000,174,180,16,13,15,16,8,12,16,3,2,8,13,17,1,20,7,8,12,6,5,11,2,16,16,14,17,12,10,14,1,19,12,1,18
Kai Havertz,M/AM (C),Chelsea,English Premier Division,GER,186,77,20,Left,AM (C),AP,0,170000,153,180,12,17,17,15,10,12,15,1,3,12,14,17,1,16,7,8,11,7,14,10,3,15,17,13,14,12,11,10,2,13,11,2,12
David Silva,M/AM (RLC),Real Sociedad,Spanish First Division,ESP,170,67,33,Left,M (C),AP,22000000,105000,174,179,14,19,19,15,9,8,13,3,2,12,18,12,1,18,5,7,12,10,7,7,4,17,19,12,18,13,13,15,2,17,10,3,13
Sergio Gómez,M/AM (LC),Huesca,Spanish First Division,ESP,171,68,18,Left,M (C),AP,2000000,13250,120,179,13,16,17,14,8,6,9,1,1,13,14,10,1,12,6,4,13,8,6,6,2,16,16,12,14,12,15,8,2,15,14,1,13
Christian Eriksen,"M (C), AM (LC)",Inter,Italian Serie A,DEN,182,76,27,Either,AM (C),AP,52000000,230000,158,178,15,16,16,15,9,11,16,2,1,14,14,12,1,16,7,5,15,8,8,7,1,13,15,14,13,12,11,11,4,14,5,1,13
David De Gea,GK,Man Utd,English Premier Division,ESP,193,76,28,Right,GK,G,48500000,350000,166,178,7,5,12,9,2,13,12,7,20,3,10,13,1,10,3,3,2,10,15,1,18,5,14,3,1,1,10,14,10,18,5,16,13
Jadon Sancho,M/AM (RL),Borussia Dortmund,Bundesliga,ENG,180,76,19,Right,M (L),IW,43500000,99000,155,178,11,17,17,12,6,8,12,2,3,12,14,15,1,16,5,6,11,5,9,7,3,16,16,14,18,13,11,10,1,18,10,1,17
Jan Oblak,GK,A. Madrid,Spanish First Division,SVN,189,84,26,Right,GK,SK,50000000,180000,175,178,13,8,11,13,1,13,13,15,19,12,16,13,1,2,1,2,1,11,13,2,18,15,12,3,2,3,1,16,16,13,8,15,11
Karim Benzema,ST (C),R. Madrid,Spanish First Division,FRA,185,82,31,Either,ST (C),DLF,63000000,275000,174,178,13,17,18,16,9,14,14,2,2,14,18,15,1,15,7,7,12,11,11,14,2,17,18,16,16,12,10,12,1,14,7,3,15
Trent Alexander-Arnold,"D/WB (R), DM, M (C)",Liverpool,English Premier Division,ENG,180,70,20,Right,D (R),CWB,52000000,75000,159,178,15,16,17,15,13,12,14,3,2,12,18,14,1,14,13,13,12,13,11,10,2,14,15,11,13,17,14,13,1,14,15,2,14
Leroy Sané,M/AM (RL),FC Bayern,Bundesliga,GER,183,75,23,Left,AM (L),W,76000000,155000,167,177,12,16,15,10,6,11,15,3,1,10,13,19,1,16,4,7,14,6,11,10,3,16,16,15,17,16,12,12,3,16,13,1,17
Arturo Vidal,"DM, M (C)",Inter,Italian Serie A,CHI,180,75,32,Right,M (C),BBM,33500000,165000,158,176,20,12,15,14,17,13,17,3,2,18,14,11,1,16,15,10,13,16,12,15,2,13,14,12,12,12,10,16,3,11,20,2,12
Paul Pogba,M/AM (C),Man Utd,English Premier Division,FRA,191,84,26,Right,M (C),AP,64000000,300000,169,176,11,17,19,14,9,17,18,3,2,15,18,16,1,14,6,4,14,13,16,13,3,18,18,14,16,12,8,9,2,14,12,3,12
Toni Kroos,"DM, M (C)",R. Madrid,Spanish First Division,GER,183,76,29,Either,M (C),DLP,62000000,325000,162,176,11,18,16,16,9,14,13,3,1,13,20,11,1,14,8,8,17,12,10,7,3,11,18,13,14,18,18,14,1,9,9,3,10
Gabriel Jesus,"AM (RL), ST (C)",Man City,English Premier Division,BRA,179,73,22,Right,ST (C),AF,49000000,90000,156,175,16,13,16,13,9,12,13,3,3,13,14,15,1,17,8,6,11,7,10,12,2,16,15,14,16,10,11,14,3,17,12,3,16
Jérôme Boateng,D (C),FC Bayern,Bundesliga,GER,192,90,30,Either,D (C),BPD,35500000,200000,156,175,8,14,13,12,16,17,12,2,3,7,15,14,1,5,16,15,8,11,17,10,3,11,13,6,11,14,7,13,2,10,9,3,11
João Félix,"AM (RLC), ST (C)",A. Madrid,Spanish First Division,POR,178,74,19,Either,AM (C),AM,60000000,155000,159,175,11,16,18,12,7,9,12,3,2,14,17,12,1,18,4,4,13,7,9,12,1,20,16,15,17,12,11,13,1,15,14,1,13
Lautaro Martínez,ST (C),Inter,Italian Serie A,ARG,174,79,21,Right,ST (C),PF,46500000,46000,161,175,17,12,16,15,8,14,15,3,1,15,12,15,1,16,7,3,14,11,13,15,3,15,17,15,14,9,4,11,3,16,17,2,15
Leon Bailey,M/AM (RL),Bayer 04,Bundesliga,JAM,180,75,21,Left,M (R),IW,32500000,66000,151,175,13,12,15,8,6,9,14,3,3,12,11,18,1,13,4,13,15,5,12,8,1,17,13,13,16,14,15,10,1,16,13,2,18
Marcus Rashford,"AM (L), ST (C)",Man Utd,English Premier Division,ENG,184,77,21,Right,AM (L),IW,43000000,180000,153,175,16,9,15,13,3,12,14,2,4,16,12,17,1,14,2,1,12,5,8,10,1,18,14,14,15,9,7,12,1,15,14,2,18
Pepe Reina,GK,Lazio,Italian Serie A,ESP,188,92,36,Right,GK,SK,800000,92000,138,175,10,11,12,13,3,17,13,18,13,7,11,10,1,3,1,2,3,16,14,9,12,7,10,1,1,2,7,11,15,13,10,11,8
Phil Foden,M/AM (C),Man City,English Premier Division,ENG,171,64,19,Left,AM (C),AP,47000000,30000,152,175,14,16,17,14,8,8,14,3,1,12,16,15,1,15,8,5,12,8,6,8,1,16,17,14,15,13,12,14,3,17,7,2,15
Roberto Firmino,"AM (RLC), ST (C)",Liverpool,English Premier Division,BRA,181,76,27,Right,ST (C),DLF,63000000,180000,168,175,18,17,18,18,14,14,16,2,2,12,15,13,1,16,13,7,11,6,11,14,4,17,17,13,15,14,11,15,3,15,13,2,13
David Alaba,"D (LC), WB (L), M (C)",FC Bayern,Bundesliga,AUT,178,72,27,Left,D (L),FB,66000000,165000,168,174,17,13,15,18,12,11,18,3,1,15,14,16,1,14,10,13,14,12,11,8,1,11,13,10,12,13,12,16,1,14,13,1,16
Edinson Cavani,ST (C),Man Utd,English Premier Division,URU,184,71,32,Right,ST (C),P,51000000,325000,159,174,16,10,13,14,8,14,17,3,1,17,11,14,1,17,8,5,13,13,14,18,2,14,13,17,13,11,5,16,3,14,14,3,14
Giorgio Chiellini,D (C),Juventus,Italian Serie A,ITA,187,85,34,Left Only,D (C),CD,5750000,105000,168,174,16,8,8,18,19,18,15,4,3,3,12,14,1,10,18,19,10,18,15,16,3,8,8,5,5,9,4,17,3,10,16,1,10
Juan Mata,AM (RC),Man Utd,English Premier Division,ESP,171,65,31,Left,AM (C),AP,11750000,135000,135,174,12,17,19,16,4,8,11,1,2,15,17,9,1,16,2,3,10,11,6,4,3,15,19,14,13,14,14,12,1,14,11,3,10
Sergio Ramos,D (C),R. Madrid,Spanish First Division,ESP,184,83,33,Right,D (C),BPD,24000000,475000,172,174,16,13,14,14,18,16,17,2,1,16,16,15,1,12,16,12,14,19,16,20,4,15,14,13,13,11,9,10,3,15,18,1,13
Thiago Silva,D (C),Chelsea,English Premier Division,BRA,183,79,34,Right,D (C),BPD,0,350000,161,174,14,12,13,15,16,15,14,1,1,14,13,12,1,10,17,7,7,15,13,17,2,8,14,7,10,5,4,17,1,13,17,3,12
Arthur,"DM, M/AM (C)",Juventus,Italian Serie A,BRA,172,67,22,Right,M (C),DLP,59000000,155000,157,173,15,16,16,15,12,10,12,2,3,14,18,13,1,14,10,10,10,11,8,7,1,14,16,10,15,12,12,15,1,14,10,3,14
Aymeric Laporte,D (C),Man City,English Premier Division,FRA,191,86,25,Left,D (C),BPD,57000000,120000,170,173,14,16,15,13,16,14,14,2,1,11,16,14,1,14,16,8,11,13,16,16,2,12,14,8,13,11,8,17,3,13,14,3,14
Hamed Junior Traoré,M/AM (C),Sassuolo,Italian Serie A,CIV,184,78,19,Right,AM (C),AP,8750000,15250,135,173,15,14,14,13,12,12,12,1,2,10,14,13,1,15,10,4,11,8,12,10,1,12,13,11,14,11,10,12,1,14,13,3,13
Joshua Kimmich,"D/WB (R), DM, M (C)",FC Bayern,Bundesliga,GER,176,70,24,Right,D (R),WB,48500000,130000,171,173,17,16,15,18,14,13,18,1,2,12,16,11,1,14,14,10,11,13,10,10,1,9,14,11,11,15,13,14,1,15,12,2,13
Jude Bellingham,M/AM (RLC),Borussia Dortmund,Bundesliga,ENG,181,60,15,Right,M (C),MEZ,7000000,58000,129,173,14,14,13,11,10,9,13,1,2,8,13,14,1,12,8,6,11,10,10,10,2,13,13,12,14,11,10,12,1,14,10,4,14
Leon Goretzka,"DM, M/AM (C)",FC Bayern,Bundesliga,GER,189,79,24,Right,M (C),BBM,28500000,135000,150,173,18,13,15,16,12,13,18,3,2,12,14,16,1,16,10,9,12,14,14,14,3,10,13,12,11,11,10,12,3,11,17,2,11
Leonardo Bonucci,D (C),Juventus,Italian Serie A,ITA,190,86,32,Right,D (C),BPD,32000000,170000,167,173,14,17,13,16,12,15,16,2,2,13,17,14,1,7,14,7,12,18,16,15,1,10,14,10,11,9,4,15,3,13,11,2,12
Rhian Brewster,"AM (RL), ST (C)",Sheff Utd,English Premier Division,ENG,180,73,19,Right Only,ST (C),AF,14250000,55000,125,173,10,13,15,8,8,9,13,2,1,13,11,14,1,14,7,4,13,5,10,8,2,16,12,16,13,10,7,11,3,13,15,2,14
Rodrigo Bentancur,"DM, M (C)",Juventus,Italian Serie A,URU,187,78,21,Right,M (C),DLP,31500000,77000,156,173,17,14,15,16,14,14,15,2,1,8,15,14,1,13,13,7,13,11,13,12,2,11,15,12,13,12,10,14,2,15,14,2,12
Romelu Lukaku,ST (C),Inter,Italian Serie A,BEL,191,94,26,Left,ST (C),PF,56000000,190000,172,173,18,10,14,19,9,20,16,1,2,18,12,18,1,15,5,3,14,16,16,16,4,13,14,17,14,9,3,14,2,11,16,3,15
Sergej Milinkovic-Savic,M/AM (C),Lazio,Italian Serie A,SRB,191,82,24,Right,M (C),BBM,56000000,77000,165,173,15,15,16,16,13,18,17,2,2,14,15,13,1,18,8,4,15,12,17,18,1,18,15,15,15,10,5,11,1,13,14,2,14
Thiago,"DM, M/AM (C)",Liverpool,English Premier Division,ESP,174,70,28,Right,M (C),AP,69000000,200000,167,173,15,19,19,10,14,9,15,1,2,13,17,10,1,13,10,5,14,8,7,12,3,18,19,13,17,14,15,10,2,17,13,3,14
Douglas Costa,"M (RL), AM (RLC)",FC Bayern,Bundesliga,BRA,172,70,28,Left,AM (L),W,57000000,185000,164,172,11,14,18,7,5,11,14,1,1,11,15,17,1,13,3,4,15,5,6,4,1,17,17,11,18,16,12,9,1,17,14,1,18
James Rodríguez,M/AM (RLC),Everton,English Premier Division,COL,180,75,27,Left,AM (C),AM,51000000,100000,157,172,10,19,18,12,7,10,13,1,1,14,15,11,1,13,6,8,17,10,9,12,2,18,19,16,14,17,17,13,1,14,10,2,12
Julian Brandt,M/AM (RLC),Borussia Dortmund,Bundesliga,GER,186,82,23,Right,M (L),IW,40500000,115000,154,172,11,16,17,13,8,10,14,2,2,11,13,13,1,15,5,7,12,6,12,6,1,14,18,14,16,12,11,10,3,14,11,1,15
Marco Reus,"M (RL), AM (RLC)",Borussia Dortmund,Bundesliga,GER,180,75,30,Right,M (L),IW,61000000,200000,167,172,14,14,13,13,9,8,15,3,2,15,12,16,1,18,6,7,14,12,8,6,2,15,14,17,14,13,15,14,3,15,14,2,18
Mason Greenwood,"AM (R), ST (C)",Man Utd,English Premier Division,ENG,185,75,17,Either,ST (C),AF,30000000,25000,140,172,14,10,15,12,3,12,12,1,3,10,12,17,1,15,2,1,14,4,10,7,1,16,14,16,14,8,5,12,3,14,13,3,16
Nicolò Barella,M (C),Inter,Italian Serie A,ITA,172,68,22,Right,M (C),BBM,48000000,77000,163,172,19,14,14,18,17,14,16,3,1,14,15,14,1,15,11,4,14,12,9,10,1,11,16,11,14,11,12,17,1,14,19,3,14
Philippe Coutinho,M/AM (LC),Barcelona,Spanish First Division,BRA,172,71,27,Either,AM (C),AM,60000000,375000,165,172,14,18,19,12,7,8,13,1,1,13,15,11,1,16,5,4,17,9,7,10,3,18,18,14,18,14,13,12,2,17,10,4,14
Raphaël Varane,D (C),R. Madrid,Spanish First Division,FRA,191,82,26,Right,D (C),BPD,54000000,170000,165,172,15,11,14,14,17,15,15,3,2,10,14,16,1,10,17,10,9,10,17,16,4,11,13,6,11,9,5,15,2,13,11,2,16
Son Heung-Min,"M (R), AM (RL), ST (C)",Tottenham,English Premier Division,KOR,183,77,26,Either,AM (L),IW,66000000,95000,172,172,17,12,17,15,6,10,16,2,1,9,12,15,1,18,5,6,16,13,10,10,1,13,13,18,15,13,13,11,2,15,8,2,16
Mateo Kovacic,"DM, M/AM (C)",Chelsea,English Premier Division,CRO,178,78,25,Right,M (C),DLP,0,150000,164,172,15,16,17,15,12,14,15,1,1,12,17,14,1,13,12,7,13,11,9,10,1,16,17,12,17,14,13,11,2,15,14,1,14
Kalidou Koulibaly,D (C),Napoli,Italian Serie A,SEN,187,89,28,Right,D (C),CD,55000000,185000,167,171,17,10,13,16,17,19,17,2,4,6,13,17,1,9,18,8,8,12,15,16,3,8,12,10,9,7,4,9,3,14,15,1,12
Mats Hummels,D (C),Borussia Dortmund,Bundesliga,GER,191,92,30,Right,D (C),BPD,53000000,165000,166,171,11,14,15,16,17,16,13,2,1,11,15,11,1,6,16,8,9,13,16,15,3,9,14,10,12,9,5,15,3,10,7,1,9
Miralem Pjanic,"DM, M/AM (C)",Barcelona,Spanish First Division,BIH,178,72,29,Right,M (C),DLP,67000000,215000,167,171,13,17,16,17,12,12,13,1,3,14,18,12,1,11,11,8,14,7,8,8,2,14,17,12,14,16,15,14,1,15,10,1,14
Pipi,M/AM (C),R. Madrid,Spanish First Division,JPN,178,65,15,Right,M (C),AP,13000,55,84,171,13,11,16,13,8,6,6,2,2,6,15,12,1,6,5,5,9,3,7,2,1,16,15,9,16,7,7,4,3,12,5,3,13
Rúben Dias,D (C),Man City,English Premier Division,POR,187,83,22,Right,D (C),BPD,42500000,175000,160,171,16,12,12,16,14,16,16,3,1,8,14,13,1,7,17,5,4,16,15,15,3,8,12,6,12,11,4,14,4,15,18,2,13
Samuel Chukwueze,"M (R), AM (RL)",Villarreal,Spanish First Division,NGA,172,70,20,Left Only,M (R),IW,10500000,17250,135,171,12,10,16,10,8,8,15,3,2,8,12,16,1,10,8,9,10,10,7,12,3,16,12,11,17,12,12,10,2,14,11,2,16
Sergio Busquets,"DM, M (C)",Barcelona,Spanish First Division,ESP,189,76,30,Right,DM,DLP,49500000,250000,165,171,16,16,16,19,15,13,15,1,1,11,17,11,1,10,15,8,9,11,14,11,3,9,16,9,12,11,8,18,4,12,12,3,10
Éder Militão,"D (RC), WB (R), DM",R. Madrid,Spanish First Division,BRA,186,79,21,Right,D (R),WB,27000000,51000,150,170,14,11,12,13,15,13,14,2,3,13,12,15,1,11,15,12,11,12,14,13,1,10,12,8,12,10,9,13,1,15,15,2,15
Álvaro Morata,ST (C),Juventus,Italian Serie A,ESP,189,85,26,Right,ST (C),CF,42500000,170000,155,170,15,11,15,12,10,12,14,3,2,14,14,17,1,14,7,9,14,12,14,18,1,14,16,13,14,10,5,12,2,15,15,1,15
Anthony Martial,"AM (L), ST (C)",Man Utd,English Premier Division,FRA,181,76,23,Right,AM (L),IF,37000000,180000,155,170,11,10,16,15,3,13,14,3,3,16,14,17,1,15,2,2,8,4,9,8,3,19,16,16,16,9,5,12,1,17,8,2,17
Axel Witsel,"DM, M (C)",Borussia Dortmund,Bundesliga,BEL,186,81,30,Right,DM,DLP,35000000,125000,159,170,14,12,15,19,13,14,15,3,2,14,14,13,1,12,11,9,12,16,14,12,2,8,14,10,13,10,8,17,3,13,11,2,11
Bruno Fernandes,"M (C), AM (RC)",Man Utd,English Premier Division,POR,180,69,24,Right,AM (C),AM,57000000,100000,165,170,17,16,16,14,10,12,17,1,3,19,17,14,1,15,6,4,17,16,8,10,1,17,16,15,14,16,16,14,3,15,18,1,13
Casemiro,"DM, M (C)",R. Madrid,Spanish First Division,BRA,185,84,27,Right,M (C),BBM,52000000,200000,160,170,19,12,13,17,14,17,19,1,3,11,14,13,1,12,13,10,13,13,13,13,1,12,14,10,12,11,10,15,3,12,18,2,12
Gerard Piqué,D (C),Barcelona,Spanish First Division,ESP,194,85,32,Right,D (C),BPD,31000000,205000,169,170,15,15,16,15,15,15,15,3,3,13,16,13,1,9,16,8,8,16,16,16,3,11,15,10,13,10,8,15,2,10,14,3,11
Goran Pandev,"AM (RC), ST (C)",Genoa,Italian Serie A,MKD,184,74,35,Left,ST (C),DLF,400000,10750,128,170,8,13,17,16,6,12,9,2,2,13,14,11,1,16,7,4,12,14,9,11,3,16,17,13,13,14,14,14,3,10,10,2,8
Hugo Lloris,GK,Tottenham,English Premier Division,FRA,188,82,32,Left Only,GK,SK,31500000,100000,157,170,16,9,10,15,10,14,15,18,17,3,8,12,1,6,4,2,3,15,13,9,17,6,8,1,5,3,9,14,12,17,15,11,14
